word_id,letter,word_en,approved_word_dv,transliteration,pronounciation,morphemes,meaning_id,meaning_text,word_en_meaning
13,ދ,Dhaalu - twelfth letter of the Thaana alphabet.,ދ,,,,54098,އަކުރުފިލި ތާނައިގެ އުބުފިއްޔާއި އޫބޫފިލި.,
14,,,,,,,2416,ތާނައިގެ ތޭރަވަނަ އަކުރު.,
15,ލ,Laamu - fourteenth letter of the Thaana alphabet.,ލ,,,,801,ތާނައިގެ ސާދަވަނަ އަކުރު.,Laamu - fourteenth letter of the Thaana alphabet.
16,ގ,Gaafu - fifteenth letter of the Thaana alphabet.,ގ,,,,1780,ތާނައިގެ ފަނަރަވަނަ އަކުރު.,Gaafu - fifteenth letter of the Thaana alphabet.
17,ޏ,Gnaviyani - the sixteenth letter of Thaana,ޏ,,,,265,ތާނައިގެ ސޯޅަވަނަ އަކުރު.,Gnaviyani - the sixteenth letter of the Thaana alphabet.
18,ސ,Seenu - the seventeenth letter of Thaana,ސ,,,,1138,ތާނައިގެ ސަތާރަވަނަ އަކުރު.,Seenu - the seventeenth letter of the Thaana alphabet.
19,ޑ,Daviyani - the eighteenth letter of Thaana,ޑ,,,,8214,ތާނައިގެ އަށާރަވަނަ އަކުރު.,Daviyani - the eighteenth letter of the Thaana alphabet.
20,ޒ,Zaviyani - the nineteenth letter of Thaana,ޒ,,,,389,ތާނައިގެ ނަވާރަވަނަ އަކުރު.,Zaviyani - the nineteenth letter of the Thaana alphabet.
21,ޓ,Taviyani - the twentieth letter of Thaana,ޓ,,,,1405,ތާނައިގެ ވިހިވަނަ އަކުރު.,Taviyani - the twentieth letter of the Thaana alphabet.
22,ޔ,Yaa - twenty-first letter of the Thaana alphabet,ޔ,,,,5718,ތާނައިގެ އެކާވީސްވަނަ އަކުރު.,Yaa - twenty-first letter of the Thaana alphabet.
23,ޕ,Paviyani - twenty-fsecond letter of the Thaana alp,ޕ,,,,7454,ތާނައިގެ ބާވީސްވަނަ އަކުރު.,Paviyani - twenty-second letter of the Thaana alphabet.
24,ޖ,Javiyani - twenty-third letter of the Thaana alpha,ޖ,,,,327,ތާނައިގެ ތޭވީސްވަނަ އަކުރު.,Javiyani - twenty-third letter of the Thaana alphabet.
25,ޗ,Chaviyani - twenty-fourth letter of the Thaana alp,ޗ,,,,9476,ތާނައިގެ ސައްވީސްވަނަ އަކުރު.,Chaviyani - twenty-fourth letter of the Thaana alphabet.
26,ޘ,none,ޘ,,,,325,ތާނައިގެ ފަންސަވީސްވަނަ އަކުރު.,
27,ޙ,none,ޙ,,,,5734,ތާނައިގެ ސައްބީސްވަނަ އަކުރު.,
28,ޚ,Khaa - twenty-seventh letter of the Thaana alphabe,ޚ,,,,9928,ތާނައިގެ ހަތާވީސްވަނަ އަކުރު.,Khaa - twenty-seventh letter of the Thaana alphabet.
29,ޛ,none,ޛ,,,,326,ތާނައިގެ އަށާވީސްވަނަ އަކުރު.,
30,ޜ,none,ޜ,,,,9935,ތާނައިގެ ނަވާވީސްވަނަ އަކުރު.,
31,ޝ,Sheenu - thirtieth letter of the Thaana alphabet.,ޝ,,,,9936,ތާނައިގެ ތިރީސްވަނަ އަކުރު.,Sheenu - thirtieth letter of the Thaana alphabet.
32,ޞ,none,ޞ,,,,10266,ތާނައިގެ ތިރީސްއެއްވަނަ އަކުރު.,
33,ޟ,none,ޟ,,,,9937,ތާނައިގެ ތިރީސްދެވަނަ އަކުރު.,
34,ޠ,none,ޠ,,,,10376,ތާނައިގެ ތިރީސްތިންވަނަ އަކުރު.,
35,ޡ,none,ޡ,,,,9940,ތާނައިގެ ތިރީސްހަތަރުވަނަ އަކުރު.,
36,ޢ,none,ޢ,,,,8971,ތާނައިގެ ތިރީސްފަސްވަނަ އަކުރު.,
37,ޣ,none,ޣ,,,,10436,ތާނައިގެ ތިރީސްހަވަނަ އަކުރު.,
38,ޤ,none,ޤ,,,,9357,ތާނައިގެ ތިރީސްހަތްވަނަ އަކުރު.,
39,ޥ,none,ޥ,,,,773,ތާނައިގެ ތިރީސްއަށްވަނަ އަކުރު.,
100,ހ,none,ހަ,,,,25483,އަދަދުގެ ގޮތުން ހައެއް.,
100,ހ,none,ހަ,,,,25484,ގަހާތަރި.,
101,ހ,none,ހަހަރު,,,,25499,ލޯބި.,
102,ހ,none,ހަހަރުވެތި,,,,25516,ލޯބިވެތި.,
103,ހ,none,ހަހަރުވެތުން,,,,52925,ލޯބި ބެހެއްޓުން.,
104,ހ,none,ހަހުރަ,,,,25273,އަނެކަކަށް ލިބިފައިވާ ކުޅަދާނަކަމެއް ނުވަތަ ނިޢުމަތެއް ތިމާއަށް ވެސް ލިބޭނެ ނަމައޭ ހިތަށްއަރާ އެރުން.,
105,ހ,none,ހަހުރަޔާ,,,,25420,ހަސަދަވެރިޔާ.,
106,ހ,none,ހަހެތި,,,,25632,ޒިޔާރަތް، މަޤާމު ފަދަ އިތުރު ތަންތަން.,
107,ހ,none,ހަށަ,,,,24498,ހަށަބަސް.,
108,ހ,none,ހަށަހޮއްލުން,,,,24404,"ހަށަބަހުން ވާހަކަ ދެއްކުން ""ހަށަ"".",
108,ހ,none,ހަށަހޮއްލުން,,,,24405,ހަށަބަސް.,
109,ހ,none,ހަށަނަރަ,,,,24408,ތާނައިގެ އަލިފުބާ.,
109,ހ,none,ހަށަނަރަ,,,,24409,ތާނައިގެ އަކުރުތަކަށް އެއްކޮށް ކިޔާ ނަން.,
110,ހ,none,ހަށަން,,,,24447,ޙަރަމް.,
110,ހ,none,ހަށަން,,,,24448,ހަށަންބަނދެފައި ހުންނަ ވައްތަރު.,
110,ހ,none,ހަށަން,,,,24450,މައްކާގައި ގަސްގަހާގެހި ކެނޑުމާއި ޝިކާރަކުރުން މަނާ ސަރަހައްދު.,
110,ހ,none,ހަށަން,,,,24451,ގެފުޅާއި ޒިޔާރާތްފުޅާއި މަސްޖިދުލް އަޤްޞާގެ ވަށައިގެން އޮންނަ ހަރިންމަ.,
111,ހ,none,ހަށަންބަނުން,,,,26184,ޙަރަމް ބަނުން.,
111,ހ,none,ހަށަންބަނުން,,,,26187,ވައަތް ބަނޑުގައި ޖައްސައި އެ އަތުގެ ކުޑަހުޅުގައި ކަނާއަތުން ހިފެހެއްޓުން.,
111,ހ,none,ހަށަންބަނުން,,,,26191,ކަނާއަތްތިލަ ވައަތު ކިހިލިފަތްދޮށަށް ލުމާއެކު ވައަތްތިލަ ކަނާތު ކިހިލިފަތްދޮށަށް ލުން.,
111,ހ,none,ހަށަންބަނުން,,,,26195,އަދަބުވެރިވުމުގެ ގޮތުން މެޔާހަމައިގައި ދެ އަތުން ގޮށެއްގެ ސިފަ ޖެއްސުން. އަދި މިނޫން ގޮތްގޮތަށް ވެސް މި ޙަރަކާތް ގެނެއެވެ. އަދި މި ޙަރަކާތްތައް އަދަބުވެރިގޮތުން ނޫނަސް ގެނެވެއެވެ.,
112,ހ,none,ހަށަންބަންތަކުބީރު,,,,26255,"ނަމާދަށް ހަށަންބަންނަމުން ކިޔާ ""الله އަކްބަރު"".",
112,ހ,none,ހަށަންބަންތަކުބީރު,,,,26265,ނަމާދުގެ ދެވަނަ ރުކުން.,
113,ހ,none,ހަށަންފުޅަށް އަތްޕުޅުއެރުވުން,,,,26344,"""ހަށަމަށް އަތްއެރުވުން"" މި ބަހުގެ އެންމެ މާތްގޮތް.",
114,ހ,none,ހަށަންފުޅު,,,,26405,މައްކާއާއި މަދީނާއާއި މަސްޖިދުލް އަޤްޞާގެ ހަރަމް.,
114,ހ,none,ހަށަންފުޅު,,,,54409,ޙަރަމު.,
115,ހ,none,ހަށަންފުޅު ބެންނެވުން,,,,26565,"""ހަށަންބަނުން"" މި ބަހުގެ އެންމެ މާތް ގޮތް.",
116,ހ,none,ހަށަބަހަ,,,,26592,ހަށަބަސް.,
117,ހ,none,ހަށަބަސް,,,,26608,ހަށަނަރަބަޅައިގެ ތަރުތީބުން ޖެހިޖެހިގެން އޮންނަ ދެ އަކުރު އެއް އަކުރު އަނެއް އަކުރާ ބަދަލުކޮށްގެން ވާހަކަދައްކާ ބަސް.,
118,ހ,none,ހަށަވާޅު,,,,25977,ހަރުވާޅު.,
119,ހ,none,ހަށަވާދަ,,,,26627,ލަދުގަންނަ ޒާތުގެ ޒުވާބު.,
119,ހ,none,ހަށަވާދަ,,,,26628,ހިތާވާ މީހުނާ ސަމާސާ ގޮތުން ދައްކާ ލަދުގަންނަ ޒާތުގެ ވާހަކަ.,
119,ހ,none,ހަށަވާދަ,,,,26629,ދެމީހަކު އެކަކު އަނެކަކަށްވުރެ ތިމާ މޮޅުކަމަށް ބުނެ ކުރާ ޒުވާބާއި ވާ އަރާރުން.,
119,ހ,none,ހަށަވާދަ,,,,26630,ވައްބަހުން ދައްކާ ވާހަކަ.,
120,ހ,none,ހަށަވާދަކިޔުން,,,,26647,ލަދުގަންނަ ޒާތުގެ ޒުވާބުކުރުން.,
120,ހ,none,ހަށަވާދަކިޔުން,,,,26648,ހިތާވާ މީހުނާ ސަމާސާގެ ގޮތުން ލަދުގަންނަ ޒާތުގެ ވާހަކަދެއްކުން.,
120,ހ,none,ހަށަވާދަކިޔުން,,,,26649,ދެ މީހަކު އެކަކު އަނެކަކަށް ވުރެ ތިމާ މޮޅުކަމަށް ބުނެ ވާހަކަދައްކައި ޒުވާބުކޮށް އަރައިރުންވުން.,
120,ހ,none,ހަށަވާދަކިޔުން,,,,26650,ވައްބަހުން ވާހަކަދެއްކުން.,
121,ހ,none,ހަށަވާލި,,,,26670,ވާލި އާއިލާގެ ފަރުމަހެއް. މި މަސް އެހެނިހެން ވާއްޔަށް ވުރެ ދިގުވާނެއެވެ. މި ވާލީގެ ބުރަކަށި މަތީ އެއްވަރަކަށް ހުންނަ ކަށިތަކެއް ހުންނާނެއެވެ. މަހުގެ ކުލައަކީ ރިހިއަޅި ކުލައެވެ. މަހުގެ އަރިމަތީގައި ދެ ބަރިއަކަށް ހުންނަ ކަޅު ލައްތަކެއް ހުރެއެވެ.,
122,ހ,none,ހަށަމަށް އަތްއެރުވުން,,,,26800,މަރަށް ހާޒިރުވެފައިވާ މީހާގެ ނުވަތަ މައްޔިތާގެ މޭކަށިގަނޑުގެ ތިރީގައި ވައަތްމަތީގައި ކަނާއަތް ބޭއްވުން.,
123,ހ,none,ހަށަފާޅަ,,,,26820,ދޭ.,
124,ހ,none,ހަށަގެހުން,,,,26837,ދެކޮޅުވެރިވެ ޒުވާބުކުރުން.,
125,ހ,body,ހަށި,,,,26859,ދިރޭ ކޮންމެ އެއްޗެއްގެ މުޅި ހަށިގަނޑު.,body
126,ހ,none,ހަށިހިރު,,,,26879,ހުސް.,
127,ހ,none,ހަށިހުއްދަ,,,,26891,ބަލިވެއިންކަމުގައި ނުވާ.,
127,ހ,none,ހަށިހުއްދަ,,,,26892,އަނެކާގެ ޢިއްދައެއްގައި އިންކަމުގައި ނުވާ.,
128,ހ,none,ހަށިހުއްދަވުން,,,,26910,ބަލިވެއިންކަމުގައި ނުވުން.,
128,ހ,none,ހަށިހުއްދަވުން,,,,26911,އަނެކާގެ ޢިއްދައިގައި އިންކަމުގައި ނުވުން.,
129,ހ,none,ހަށިހެއު,,,,26928,ހަށިހެޔޮ.,
130,ހ,none,ހަށިހެއުވުން,,,,27142,ހަށިހެޔޮވުން.,
131,ހ,none,ހަށިހެދުން,,,,27132,ގައިހެދުން.,
132,ހ,none,ހަށިހެޔޮ,,,,27172,ހެދިހުރި ހަށިގަނޑުގެ ވައްތަރު ރަނގަޅު.,
132,ހ,none,ހަށިހެޔޮ,,,,27173,ސަމައްތަރު ހެޔޮ.,
132,ހ,none,ހަށިހެޔޮ,,,,27174,ހަށިގަނޑު އެކަށީގެންވާ ވަރަށް ފަލަ.,
132,ހ,none,ހަށިހެޔޮ,,,,27175,ރޫފަ ރަގަނޅު.,
133,ހ,none,ހަށިހެޔޮކަން,,,,27719,ހެދިހުރި ހަށިގަނޑުގެ ވައްތަރު ރަނގަޅުކަން.,
133,ހ,none,ހަށިހެޔޮކަން,,,,27720,ސަމައްތަރު ހެޔޮކަން.,
133,ހ,none,ހަށިހެޔޮކަން,,,,27721,ހަށިގަނޑު ހެޔޮވަރަށް ފަލަކަން.,
133,ހ,none,ހަށިހެޔޮކަން,,,,27722,ރޫފަ ރަނގަޅުކަން.,
134,ހ,none,ހަށިހެޔޮވުން,,,,27734,ހެދިހުރި ހަށިގަނޑުގެ ވައްތަރު ރަނގަޅުވުން.,
134,ހ,none,ހަށިހެޔޮވުން,,,,27735,ސަމައްތަރު ހެޔޮވުން.,
134,ހ,none,ހަށިހެޔޮވުން,,,,27736,ހަށިގަނޑު އެކަށީގެންވާ ވަރަށް ފަލަވުން.,
134,ހ,none,ހަށިހެޔޮވުން,,,,27737,ރޫފަ ރަނގަޅުވުން.,
135,ހ,none,ހަށިބުރަ,,,,27749,ބަރުހެލި.,
136,ހ,none,ހަށިބުރަކަން,,,,27769,ބަރުހެލިކަން.,
137,ހ,none,ހަށިބުރަވުން,,,,27775,ބަރުހެލިވުން.,
138,ހ,none,ހަށިކާހިސާބަ,,,,27755,އިސްކޮޅު ޖެހޭ ހިސާބު.,
139,ހ,none,ހަށިކާތަން,,,,27751,އިސްކޮޅުޖެހޭ ތަން.,
139,ހ,none,ހަށިކާތަން,,,,27753,އިސްކޮޅުކާ ތަން.,
140,ހ,none,ހަށިކެއުން,,,,27830,އިސްކޮޅުޖެހުން.,
140,ހ,none,ހަށިކެއުން,,,,27831,އިސްކޮޅުކެއުން.,
141,ހ,none,ހަށިކޮޅުބުރަފުޅުވުން,,,,28316,"""ހަށިބުރަވުން"". މި ބަހުގެ އެންމެ މާތްގޮތް.",
142,ހ,none,ހަށިކޮޅުފަސޭހަފުޅު,,,,28335,"""ހަށިފަސޭހަ"" މި ބަހުގެ އެންމެ މާތްގޮތް.",
143,ހ,none,ހަށިކޮޅުފަސޭހަފުޅުކަން,,,,28354,""" ހަށިފަސޭހަކަން"" މިބަހުގެ އެންމެ މާތްގޮތް.",
144,ހ,none,ހަށިކޮޅުފަސޭހަފުޅުވުން,,,,28371,"""ހަށިފަސޭހަވުން"" މިބަހުގެ އެންމެ މާތްގޮތް.",
145,ހ,none,ހަށިކޮޅުފުރާނޭވާފުޅުލެއްވުން,,,,29131,"""ހަށިފުރާ ނޭވާލުން"" މިބަހުގެ އެންމެ މާތްގޮތް.",
146,ހ,none,ހަށިވައު,,,,29146,ދަނޑީވައު.,
146,ހ,none,ހަށިވައު,,,,29147,ތުންމަތީ ރިޔަލުގެ ދަނޑި ހިފެހެއްޓުމަށް ދަނޑީގެ ކުރީގައި ޖަހާ ވައު.,
147,ހ,none,ހަށިފަސޭހަ,,,,29160,ވިހާ.,
147,ހ,none,ހަށިފަސޭހަ,,,,29161,ހަށިގަނޑަށް އުނދަގޫވާ ކަމެއްނެތް.,
147,ހ,none,ހަށިފަސޭހަ,,,,29162,ހިތްފަސޭހަ.,
148,ހ,none,ހަށިފަސޭހަކޮށްލުން,,,,29178,ހިތްފަސޭހަކޮށްލުން.,
149,ހ,none,ހަށިފަސޭހަވުން,,,,29196,ވިހެއުން.,
149,ހ,none,ހަށިފަސޭހަވުން,,,,29197,ހަށިގަނޑަށް އުނދަގޫވާ ކަމެއްނެތުން.,
149,ހ,none,ހަށިފަސޭހަވުން,,,,29198,ހިތްފަސޭހަވުން.,
150,ހ,none,ހަށިފުރާނޭވާލުން,,,,29217,ދިގުކޮށް މާނޭވާލުން.,
150,ހ,none,ހަށިފުރާނޭވާލުން,,,,29218,ދިގުކޮށް ފުންކޮށް ނޭވާއެއް ލުން.,
151,ހ,none,ހަށިފުރާނޭވާލެއްވުން,,,,29238,"""ހަށިފުރާނޭވާލުން"" މި ބަހުގެ މާތްގޮތް.",
152,ހ,none,ހަށިފޮޅައިލުން,,,,29830,ދޫނިސޫފާސޫފީގެ ގައިގައި ހުންނަފެން ނުވަތަ ހިރަފުސް ފޮޅައިލުމަށް އެސޮރުމެންގެ ހަށިގަނޑަށް ހަރަކާތް ގެނައުން.,
152,ހ,none,ހަށިފޮޅައިލުން,,,,29831,ތިމާގެ ގައިގައި މީހަކު ނުވަތަ ދިރޭއެއްޗެއް ބައްދައިފައި އޮތް ބެއްދުމެއް ނައްޓައިލުމަށް ޙަރަކާތްކުރުން.,
152,ހ,none,ހަށިފޮޅައިލުން,,,,29832,ކުރިމަތިވެފައިވާ ދަތިތަކަކުން ސަލާމަތްވެގަތުން.,
153,ހ,none,ހަށިފޮޅައިލެއްވުން,,,,29853,"""ހަށިފޮޅައިލުން""  މި ބަހުގެ މާތްގޮތް.",
154,ހ,none,ހަށިލުއި,,,,29880,ބުރަހެލިކަން ނެތް.,
155,ހ,none,ހަށިލުއިކަން,,,,29900,ބުރަހެލިކަމެއް ނެތްކަން.,
156,ހ,none,ހަށިލުއިވުން,,,,30164,ބުރަހެލިކަމެއް ނެތުން.,
157,ހ,none,ހަށިގަނޑު,,,,30185,އިންސާނުންނާއި ޙަޢިވާނުންގެ ބޮލާއި ހަތަރެސްފައި ނޫންހައި ތަން.,
157,ހ,none,ހަށިގަނޑު,,,,30186,މުޅިއިންސާނާ ނުވަތަ މުޅި ޙައިވާނާ.,
158,ހ,none,ހަށީފެން,,,,30207,މަނި.,
159,ހ,none,ހަށުގަނޑަ,,,,30337,ހަށިގަނޑު.,
160,ހ,none,ހަނކާ,,,,30545,ބަރަވަލި، ގޮޅާ ފަދަ ތަކެތީގެ ތޮށި.,
160,ހ,none,ހަނކާ,,,,30546,ސަންގު.,
161,ހ,none,ހަނކިބޮލި,,,,30563,ސައްކެޔޮ ބޮލިޒާތުގެ ބޮއްޔެއް.,
162,ހ,moon,ހަނދަ,,,,30511,ހަނދު.,moon
163,ހ,none,ހަނދަރަބޮލި,,,,30619,ސަނދަރަބޮލި.,
164,ހ,none,ހަނދަވަރަކޮކާ,,,,30681,ކޮކާހަނދުވަރު.,
165,ހ,none,ހަނދަވަރާކޮޅުން,,,,30707,އަވިދޮންވުން.,
166,ހ,none,ހަނދަމަގަ,,,,30734,ހަނދު ހިނގާ އުސްދަނޑި.,
167,ހ,new moon,ހަނދަފަޅަ,,,,30767,ހަނދުފަޅި.,
167,ހ,new moon,ހަނދަފަޅަ,,,,30768,ހުޅެވިހަނދު.,new moon
168,ހ,none,ހަނދަފަޅި,,,,30788,ހަނދުފަޅި.,
169,ހ,none,ހަނދަލަ,,,,31139,ބޮޑުކޮރަކަލި.,
169,ހ,none,ހަނދަލަ,,,,31140,ކޮރަކައްޔާއި ހަންޖާ ދެމެދުގެ ހަނދިމަސް.,
170,ހ,none,ހަނދަލާގެ,,,,31250,ހަނދުގެ.,
171,ހ,none,ހަނދާނީހަދިޔާ,,,,31270,ކަމެއްގެ ހަނދާން ދެމެހެއްޓުމުގެ ގޮތުން ދޭ އެއްޗެއް.,
172,ހ,none,ހަނދާނީފިލާ,,,,31283,ޚިދުމަތެއްގެ އަގުވަޒަންކުރުމަށް ޓަކައި ނުވަތަ ކަމެއްގެ ހަނދާނެއްގެ ގޮތުން ލިޔެ ކުރެހުން އަޅައި ނުވަތަ ފޮޓޯއެއް ޖަހައިގެން ހަދައިފައި ދޭ ބޯޑެއް. މި ހަދައިފައި ހުންނަނީ ތަފާތު އެއްޗެހިން ތަފާތު ގޮތްގޮތަށެވެ.,
173,ހ,none,ހަނދާނީލިޔުން,,,,31297,ކަމެއްގެ ހަނދާނެއްގެ ގޮތުން ދޭ ސަނަދު ނުވަތަ ސެޓުފިކެޓް ފަދަ ލިޔުން.,
174,ހ,none,ހަނދާން,,,,31327,ވެދިޔަކަމެއް ނުވަތަ ދަސްކުރި އެއްޗެއް ހިތުގައި ހަރުލާ ހުރުމުގެ ބާރު.,
174,ހ,none,ހަނދާން,,,,31328,ކަމެއް ނުވަތަ އެއްޗެއް ހިތަށްގެނައުމުގެ ބާރު.,
175,ހ,none,ހަނދާންބެހެއްޓުން,,,,31342,އެއްޗެއް ހިތުންފިލައި ދިޔަނުދިނުން.,
176,ހ,none,ހަނދާންނެތުން,,,,31360,ހިތަށް ނައުން.,
176,ހ,none,ހަނދާންނެތުން,,,,31361,ހިތުން ފިލައިދިއުން.,
177,ހ,none,ހަނދާންކުރުން,,,,31376,ވިސްނައި ފިކުރަށް ގެނައުން.,
177,ހ,none,ހަނދާންކުރުން,,,,31377,އަލުން ހިތްމައްޗަށް ގެނައުން.,
177,ހ,none,ހަނދާންކުރުން,,,,31378,ވިސްނުމަށް ގެނައުން.,
177,ހ,none,ހަނދާންކުރުން,,,,31379,ހިތުގައި ބެހެއްޓުން.,
178,ހ,none,ހަނދާންވުން,,,,31624,ވިސްނައި ފިކުރަށް އައުން.,
178,ހ,none,ހަނދާންވުން,,,,31627,އަލުން ހިތްމައްޗަށް އައުން.,
178,ހ,none,ހަނދާންވުން,,,,31629,ވިސްނުމަށް އައުން.,
179,ހ,none,ހަނދި,,,,31662,ފަރުމަހުގެ ބާވަތެއް. މީގެ ކިތަންމެ ވައްތަރެއް ހުރެއެވެ.,
179,ހ,none,ހަނދި,,,,31664,ރާނާ އުވަޖަހަން ގެންގުޅޭ އާލަތެއް.,
180,ހ,none,ހަނދިއެޅުން,,,,31694,އަތްބުޑު އުވަ ޖެހުމުގައްޔާއި ތަޅުންއެޅުމުގައި ހަނދިން އޮމާން ކުރުން.,
181,ހ,none,ހަނދިވަޅު,,,,31744,އުވަޖެހުމުގައި ހަނދިން އޮމާން ކުރުމަށް ފަހު ނުފިލާ ހުންނަ ހަނދީގެ އަސަރު.,
182,ހ,none,ހަނދިވާލި,,,,31765,ވާލީގެ ބާވަތެއް. މީގެ ނަގޫފަތް ދިގުވާނެއެވެ.,
183,ހ,moon,ހަނދު,,,,31781,ބިމުގެ ވަށައިގެން ދައުރުކުރާ ޤުދުރަތީ ޖިސްމެއް. މިއީ އިރުން އެއަށް އަލިކަން ލިބިގެން ރޭގަނޑު ބިމަށް އަލި ފޮނުވާ ޤުދުރަތީ ޖިސްމެކެވެ. އިސްލާމީ ކަލަންޑަރު ބިނާވެފައިވަނީ މި ޖިސްމުގެ ދައުރުވުމުގެ މައްޗަށެވެ.,"moon, Luna"
183,ހ,moon,ހަނދު,,,,31782,ގުރަހައެއްގެ ވަށައިގެން އެނބުރޭ ޤުދުރަތީ ޖިސްމު. އާންމު ގޮތެއްގައި މިފަދަ ޖިސްމުތައް ހުންނަނީ ވަށްކޮށެވެ.,moon
184,ހ,none,ހަނދުބަލާރޭ,,,,31798,ހަނދުމަހުގެ ތިރީސް ވިލޭރޭ.,
185,ހ,none,ހަނދުބަލާމަސް,,,,31812,ހިނގާމަހުގެ ކުރިޔަށް އޮންނަ ހަނދުމަސް.,
186,ހ,none,ހަނދުބަޑި,,,,31841,އީދުރޯދައަށް ހަނދު ފެނުނީމާ ޖަހާ ބަޑި.,
186,ހ,none,ހަނދުބަޑި,,,,31843,އިހުގައި ރަޖަބު ، ރަމަޟާން، ޝައްވާލު، މި ތިން މަހުގެ ފުރަތަމަ ރޭ ޖަހައި އުޅުނު ރަސްމީ ބަޑި.,
186,ހ,none,ހަނދުބަޑި,,,,31844,މެދުވަރުގެ ހަރުމަތީބަޑި.,
187,ހ,none,ހަނދުބެލުން,,,,31866,މަހުގެ ތިރީސްވިލޭރޭ ހުޅެވި ހަނދު ފެނޭތޯ ބެލުން.,
187,ހ,none,ހަނދުބެލުން,,,,31869,ހަނދުމަހަށް ފެށުން.,
188,ހ,none,ހަނދުބޮލި,,,,31910,ސަނދަރަބޮލި.,
189,ހ,none,ހަނދުކަލާބޮލި,,,,31926,ސަނދަރަ ބޮލި.,
190,ހ,lunar eclipse,ހަނދުކޭތަ,,,,31947,އިރާއި ހަނދާ ދެމެދަށް ބިން އެއްދަނޑިވާ ހިނދު ބިމުގެ ހިޔަނި ހަނދަށް އެޅިފައި ހުންނަ ހުރުން.,lunar eclipse
191,ހ,none,ހަނދުއަނެ,,,,31964,ހަނދުގެ.,
192,ހ,none,ހަނދުވަންހަ,,,,31999,"އުތުރު އިންޑިޔާގައި ރަސްކަންކުރި ޢާއިލާއެއްގެ ނަން. ރާއްޖެ އިސްލާންވީ އިރު ރާއްޖޭގެ ތަޚުތުގައި އިންނެވީ މި ދަރިކޮޅުގެ ބޭފުޅެކެވެ. ދިވެހީން މި ދަރިކޮޅަށް ""ތީމުގޭ ދަރިކޮޅު"" އަދި ""މަލެއި"" ދަރިކޮޅު މިހެން ވެސް ކިޔައެވެ.",
193,ހ,none,ހަނދަވަރަސުރާ,,,,32025,ހަނދުވަރު މޫސުމުގައި ބޮޑެތިކަންނެލި ބޭނުމަށް ކުރާ މަސްވެރިކަން.,
194,ހ,none,ހަނދުވަރީ,,,,32042,ހަނދުވަރުދޭ.,
194,ހ,none,ހަނދުވަރީ,,,,32043,ހަނދުވަރުގެ.,
194,ހ,none,ހަނދުވަރީ,,,,32044,ކޯނިކޯންޏަށް ކުދިކުދި މާތަކެއް އަޅާ ގަހެއް.,
195,ހ,none,ހަނދުވަރީމާ,,,,32062,ހަނދުވަރީމައު.,
196,ހ,Golden Dewdrop,ހަނދުވަރީމައު,,,,32078,ކަށި ގިނަ ގަހެއްގައި އަޅާ ކުދިކުދި މާތަކެއް. މި މަލުގައި ވައިލެޓުކުލަޔާއި ހުދުކުލަ ހުރެއެވެ. ފަތް ވައްތަރުވާނީ ކުދި ހީނާފަތާއެވެ. މި ގަހުގައި ނުކުންނަ އޮށް ވައްތަރުވާނީ ދޮންމޫސަގަހުގެ އޮށާއެވެ. ނަމަވެސް މީގެ ކުލައަކީ ރީނދޫކުލައެވެ.,Golden Dewdrop
